# NOTE: companies_this_topic = unique companies for THIS topic only. DO NOT SUM - double-counts companies across topics. Global unique total: 373352 companies (all regions 90-day).
topic,companies_this_topic,total_signals,acc_NAMER,acc_EMEA,acc_APAC,acc_LATAM,acc_ANZ,acc_Global,sig_NAMER,sig_EMEA,sig_APAC,sig_LATAM,sig_ANZ,sig_Global
graphics processing units,38,60,3,9,2,18,1,5,6,14,6,24,2,8
liquid cooling control,38,60,3,9,2,18,1,5,6,14,6,24,2,8
plc-based control,38,60,3,9,2,18,1,5,6,14,6,24,2,8
reprogrammability,38,60,3,9,2,18,1,5,6,14,6,24,2,8
collaborative robot,42,59,0,0,0,36,0,6,0,0,0,37,0,22
electronic grippers,42,59,0,0,0,36,0,6,0,0,0,37,0,22
insight implementation,22,59,0,4,13,2,0,3,0,23,27,3,0,6
machining center,42,59,0,0,0,36,0,6,0,0,0,37,0,22
pneumatic grippers,42,59,0,0,0,36,0,6,0,0,0,37,0,22
robotic grippers,42,59,0,0,0,36,0,6,0,0,0,37,0,22
vertical machining,42,59,0,0,0,36,0,6,0,0,0,37,0,22
vertical machining center,42,59,0,0,0,36,0,6,0,0,0,37,0,22
Armis,9,58,1,2,0,4,0,2,3,13,0,39,0,3
cyber-physical systems security,9,58,1,2,0,4,0,2,3,13,0,39,0,3
cybersecurity controls,9,58,1,2,0,4,0,2,3,13,0,39,0,3
cybersecurity management,9,58,1,2,0,4,0,2,3,13,0,39,0,3
national security,9,58,1,2,0,4,0,2,3,13,0,39,0,3
risk insights,9,58,1,2,0,4,0,2,3,13,0,39,0,3
risk prioritization,9,58,1,2,0,4,0,2,3,13,0,39,0,3
software development collaboration,5,58,0,3,0,1,0,1,0,54,0,2,0,2
Arrow Electronics,24,57,0,0,0,22,0,2,0,0,0,51,0,6
air source heat pump,24,57,0,0,0,22,0,2,0,0,0,51,0,6
air-source heat pump,24,57,0,0,0,22,0,2,0,0,0,51,0,6
air-source heat pumps,24,57,0,0,0,22,0,2,0,0,0,51,0,6
component management,29,57,0,2,0,24,0,3,0,3,0,49,0,5
custom parts manufacturing,29,57,0,2,0,24,0,3,0,3,0,49,0,5
design options,29,57,0,2,0,24,0,3,0,3,0,49,0,5
energy-efficient heating and cooling,24,57,0,0,0,22,0,2,0,0,0,51,0,6
heat pump,24,57,0,0,0,22,0,2,0,0,0,51,0,6
heat pumps,24,57,0,0,0,22,0,2,0,0,0,51,0,6
range expansion,24,57,0,0,0,22,0,2,0,0,0,51,0,6
refrigeration cycle,24,57,0,0,0,22,0,2,0,0,0,51,0,6
standard parts manufacturing,29,57,0,2,0,24,0,3,0,3,0,49,0,5
stock parts manufacturing,29,57,0,2,0,24,0,3,0,3,0,49,0,5
thermal energy transfer,24,57,0,0,0,22,0,2,0,0,0,51,0,6
valve assembly,29,57,0,2,0,24,0,3,0,3,0,49,0,5
valve spring design,29,57,0,2,0,24,0,3,0,3,0,49,0,5
identity protection,19,56,0,18,0,0,0,1,0,55,0,0,0,1
merchandising process automation,43,56,0,37,0,3,0,3,0,46,0,4,0,6
retail planning automation,43,56,0,37,0,3,0,3,0,46,0,4,0,6
security outcomes,19,56,0,18,0,0,0,1,0,55,0,0,0,1
unified identity,19,56,0,18,0,0,0,1,0,55,0,0,0,1
48v power delivery,20,55,2,4,0,11,1,2,2,15,0,26,5,7
ANSYS,11,55,0,7,0,4,0,0,0,43,0,12,0,0
automotive market trends,11,55,0,7,0,4,0,0,0,43,0,12,0,0
dc-dc converter,20,55,2,4,0,11,1,2,2,15,0,26,5,7
delivery network,20,55,2,4,0,11,1,2,2,15,0,26,5,7
electrical architecture,11,55,0,7,0,4,0,0,0,43,0,12,0,0
sdv development,11,55,0,7,0,4,0,0,0,43,0,12,0,0
secure embedded software generation,11,55,0,7,0,4,0,0,0,43,0,12,0,0
simulation-driven design,11,55,0,7,0,4,0,0,0,43,0,12,0,0
software-defined vehicle,11,55,0,7,0,4,0,0,0,43,0,12,0,0
vehicle engineering,11,55,0,7,0,4,0,0,0,43,0,12,0,0
assistive ai,41,54,16,16,0,2,4,3,17,22,0,6,4,5
co-op,40,54,0,4,0,22,1,13,0,4,0,29,1,20
co-op rpg development,40,54,0,4,0,22,1,13,0,4,0,29,1,20
combined-cycle power plant,35,54,0,0,0,24,0,11,0,0,0,35,0,19
enterprise service management,41,54,16,16,0,2,4,3,17,22,0,6,4,5
game development,40,54,0,4,0,22,1,13,0,4,0,29,1,20
game packaging,40,54,0,4,0,22,1,13,0,4,0,29,1,20
hierarchical level of detail generation,40,54,0,4,0,22,1,13,0,4,0,29,1,20
it priorities,41,54,16,16,0,2,4,3,17,22,0,6,4,5
multiphysics simulation,21,54,2,12,0,3,0,4,9,33,0,7,0,5
nerc critical infrastructure protection (cip),35,54,0,0,0,24,0,11,0,0,0,35,0,19
operational technology modernization,35,54,0,0,0,24,0,11,0,0,0,35,0,19
procedural automation,35,54,0,0,0,24,0,11,0,0,0,35,0,19
reactive monitoring,41,54,16,16,0,2,4,3,17,22,0,6,4,5
service resilience,41,54,16,16,0,2,4,3,17,22,0,6,4,5
technology modernization,35,54,0,0,0,24,0,11,0,0,0,35,0,19
unified data foundation,35,54,0,0,0,24,0,11,0,0,0,35,0,19
unreal engine workflows,40,54,0,4,0,22,1,13,0,4,0,29,1,20
performance data,33,52,0,1,0,26,0,6,0,4,0,38,0,10
managed switches,22,51,7,9,0,5,0,1,17,19,0,13,0,2
Pure Storage,23,50,0,0,0,20,0,3,0,0,0,41,0,9
Schweitzer Engineering Laboratories,41,50,0,12,0,22,1,6,0,13,0,28,3,6
application lifecycle management (alm),3,50,0,1,1,1,0,0,0,16,30,4,0,0
battery chargers,31,50,1,3,1,18,1,7,1,3,1,35,1,9
battery testing,31,50,1,3,1,18,1,7,1,3,1,35,1,9
collaborative problem-solving,23,50,0,0,0,20,0,3,0,0,0,41,0,9
community health,23,50,0,0,0,20,0,3,0,0,0,41,0,9
custom battery design,31,50,1,3,1,18,1,7,1,3,1,35,1,9
dependency scanning,3,50,0,1,1,1,0,0,0,16,30,4,0,0
design solution,31,50,1,3,1,18,1,7,1,3,1,35,1,9
digital protective relays,41,50,0,12,0,22,1,6,0,13,0,28,3,6
digital relays,41,50,0,12,0,22,1,6,0,13,0,28,3,6
docking stations,31,50,1,3,1,18,1,7,1,3,1,35,1,9
emr implementation,23,50,0,0,0,20,0,3,0,0,0,41,0,9
firmware qualification,41,50,0,12,0,22,1,6,0,13,0,28,3,6
healthcare it,23,50,0,0,0,20,0,3,0,0,0,41,0,9
ied,41,50,0,12,0,22,1,6,0,13,0,28,3,6
in-house engineering,31,50,1,3,1,18,1,7,1,3,1,35,1,9
infrastructure optimization,23,50,0,0,0,20,0,3,0,0,0,41,0,9
intelligent electronic devices,41,50,0,12,0,22,1,6,0,13,0,28,3,6
lithium-ion power,31,50,1,3,1,18,1,7,1,3,1,35,1,9
power solutions,31,50,1,3,1,18,1,7,1,3,1,35,1,9
problem-solving,23,50,0,0,0,20,0,3,0,0,0,41,0,9
protective relaying,41,50,0,12,0,22,1,6,0,13,0,28,3,6
protective relays,41,50,0,12,0,22,1,6,0,13,0,28,3,6
software platforms,31,50,1,3,1,18,1,7,1,3,1,35,1,9
three-tier infrastructure,23,50,0,0,0,20,0,3,0,0,0,41,0,9
virtualization,23,50,0,0,0,20,0,3,0,0,0,41,0,9
automatic regulatory updates,28,49,3,19,0,3,1,2,4,35,0,3,3,4
cloud-based switches,21,49,7,9,0,4,0,1,17,19,0,11,0,2
global availability,21,49,7,9,0,4,0,1,17,19,0,11,0,2
licensing model,21,49,7,9,0,4,0,1,17,19,0,11,0,2
applicant tracking,18,48,0,0,0,17,0,1,0,0,0,44,0,4
banking integration,21,48,0,0,0,18,0,3,0,0,0,33,0,15
business banking,21,48,0,0,0,18,0,3,0,0,0,33,0,15
business owner solutions,21,48,0,0,0,18,0,3,0,0,0,33,0,15
ebook licensing,22,48,14,0,0,2,0,6,32,0,0,5,0,11
end user license agreement,22,48,14,0,0,2,0,6,32,0,0,5,0,11
ethics & compliance,29,48,0,0,0,26,0,3,0,0,0,45,0,3
integrated risk management,29,48,0,0,0,26,0,3,0,0,0,45,0,3
internal audits,29,48,0,0,0,26,0,3,0,0,0,45,0,3
internal controls,29,48,0,0,0,26,0,3,0,0,0,45,0,3
network switches,12,48,0,0,0,11,0,1,0,0,0,15,0,33
privilege escalation,25,48,2,13,0,10,0,0,2,24,0,22,0,0
process integrity,25,48,2,13,0,10,0,0,2,24,0,22,0,0
ria channel,21,48,0,0,0,18,0,3,0,0,0,33,0,15
spear phishing protection,25,48,2,13,0,10,0,0,2,24,0,22,0,0
aerospace cable assemblies,24,47,0,8,0,11,1,4,0,15,0,17,10,5
cable assemblies,24,47,0,8,0,11,1,4,0,15,0,17,10,5
defense cable assemblies,24,47,0,8,0,11,1,4,0,15,0,17,10,5
digital communications,24,47,0,8,0,11,1,4,0,15,0,17,10,5
environmental standards,24,47,0,8,0,11,1,4,0,15,0,17,10,5
mechanical and electrical,24,47,0,8,0,11,1,4,0,15,0,17,10,5
terminated cable assemblies,24,47,0,8,0,11,1,4,0,15,0,17,10,5
Beckhoff,15,46,0,3,0,11,0,1,0,24,0,21,0,1
ai copilots,35,46,0,25,0,3,0,7,0,27,0,3,0,16
ai simulation,17,46,1,12,0,2,0,2,4,33,0,6,0,3
ai-powered itsm,35,46,0,25,0,3,0,7,0,27,0,3,0,16
business results,13,46,0,0,0,12,0,1,0,0,0,45,0,1
industrial solutions,17,46,1,12,0,2,0,2,4,33,0,6,0,3
industry 5.0,17,46,1,12,0,2,0,2,4,33,0,6,0,3
it service delivery,35,46,0,25,0,3,0,7,0,27,0,3,0,16
modern data platform,13,46,0,0,0,12,0,1,0,0,0,45,0,1
systems engineering,17,46,1,12,0,2,0,2,4,33,0,6,0,3
unified data analytics,13,46,0,0,0,12,0,1,0,0,0,45,0,1
unified it management,35,46,0,25,0,3,0,7,0,27,0,3,0,16
asset lifecycle management,34,45,0,1,0,29,0,4,0,1,0,39,0,5
demand response,35,44,0,0,0,30,0,5,0,0,0,35,0,9
demand response programs,35,44,0,0,0,30,0,5,0,0,0,35,0,9
enterprise asset management,33,44,0,1,0,28,0,4,0,1,0,38,0,5
strategic benefits,33,44,0,1,0,28,0,4,0,1,0,38,0,5
active cooling,12,43,0,3,0,9,0,0,0,24,0,19,0,0
cabinet-free automation,12,43,0,3,0,9,0,0,0,24,0,19,0,0
control cabinet,12,43,0,3,0,9,0,0,0,24,0,19,0,0
control cabinets,12,43,0,3,0,9,0,0,0,24,0,19,0,0
cooling maintenance,12,43,0,3,0,9,0,0,0,24,0,19,0,0
global expansion,12,43,0,3,0,9,0,0,0,24,0,19,0,0
open automation,12,43,0,3,0,9,0,0,0,24,0,19,0,0
pc-based control,12,43,0,3,0,9,0,0,0,24,0,19,0,0
digital mental health program,30,41,22,3,0,3,1,1,32,3,0,3,1,2
early intervention programs,30,41,22,3,0,3,1,1,32,3,0,3,1,2
efficiency,9,41,0,3,0,5,0,1,0,27,0,5,0,9
mental health programs,30,41,22,3,0,3,1,1,32,3,0,3,1,2
mental wellbeing,30,41,22,3,0,3,1,1,32,3,0,3,1,2
ai agent security,21,40,7,3,0,9,1,1,16,7,0,15,1,1
cyberattack prevention,30,40,0,7,0,3,17,3,0,9,0,4,23,4
month-end close,14,40,2,5,2,4,0,1,6,12,6,10,0,6
payroll data protection,30,40,0,7,0,3,17,3,0,9,0,4,23,4
ransomware protection,16,39,0,2,1,11,0,2,0,5,1,28,0,5
advanced mixing,16,38,0,1,0,10,0,5,0,2,0,28,0,8
dry blending,16,38,0,1,0,10,0,5,0,2,0,28,0,8
energy solutions,16,38,0,1,0,10,0,5,0,2,0,28,0,8
high viscosity mixing,16,38,0,1,0,10,0,5,0,2,0,28,0,8
product performance,16,38,0,1,0,10,0,5,0,2,0,28,0,8
risk detection,19,38,7,3,0,7,1,1,16,7,0,13,1,1
sustainable energy,16,38,0,1,0,10,0,5,0,2,0,28,0,8
sustainable energy solutions,16,38,0,1,0,10,0,5,0,2,0,28,0,8
cloud applications,15,37,0,2,1,10,0,2,0,5,1,26,0,5
copilot+ pcs,8,37,0,3,0,5,0,0,0,26,0,11,0,0
data exfiltration prevention,15,37,0,2,1,10,0,2,0,5,1,26,0,5
entitlement management,15,37,0,10,0,1,1,3,0,31,0,1,1,4
identity and access controls,15,37,0,10,0,1,1,3,0,31,0,1,1,4
multicloud environments,15,37,0,10,0,1,1,3,0,31,0,1,1,4
security risk management,15,37,0,10,0,1,1,3,0,31,0,1,1,4
unified iam,15,37,0,10,0,1,1,3,0,31,0,1,1,4
better operations,26,36,0,0,0,25,0,1,0,0,0,33,0,3
enterprise laboratory,22,36,0,2,0,18,0,2,0,2,0,31,0,3
enterprise laboratory information,22,36,0,2,0,18,0,2,0,2,0,31,0,3
healthcare informatics,22,36,0,2,0,18,0,2,0,2,0,31,0,3
joint use program management,26,36,0,0,0,25,0,1,0,0,0,33,0,3
laboratory information,22,36,0,2,0,18,0,2,0,2,0,31,0,3
laboratory workflow,22,36,0,2,0,18,0,2,0,2,0,31,0,3
pole attachment management,26,36,0,0,0,25,0,1,0,0,0,33,0,3
skills gap,22,36,0,0,0,20,0,2,0,0,0,32,0,4
utility infrastructure management,26,36,0,0,0,25,0,1,0,0,0,33,0,3
Advanced Micro Devices,7,35,0,3,0,4,0,0,0,26,0,9,0,0
Centric Software,12,35,0,0,0,8,0,4,0,0,0,13,0,22
ai accelerators,7,35,0,3,0,4,0,0,0,26,0,9,0,0
ai adoption in nonprofits,8,35,0,0,0,5,0,3,0,0,0,6,0,29
digital fundraising,8,35,0,0,0,5,0,3,0,0,0,6,0,29
external cloud,7,35,0,3,0,4,0,0,0,26,0,9,0,0
nonprofit cybersecurity,8,35,0,0,0,5,0,3,0,0,0,6,0,29
nonprofit trends,8,35,0,0,0,5,0,3,0,0,0,6,0,29
nonprofit trends analysis,8,35,0,0,0,5,0,3,0,0,0,6,0,29
on-device ai processing,7,35,0,3,0,4,0,0,0,26,0,9,0,0
operational security,7,35,0,3,0,4,0,0,0,26,0,9,0,0
plm,12,35,0,0,0,8,0,4,0,0,0,13,0,22
product innovation,12,35,0,0,0,8,0,4,0,0,0,13,0,22
product lifecycle management (plm),12,35,0,0,0,8,0,4,0,0,0,13,0,22
real-time ai,7,35,0,3,0,4,0,0,0,26,0,9,0,0
ryzen ai,7,35,0,3,0,4,0,0,0,26,0,9,0,0
sustainability standards,12,35,0,0,0,8,0,4,0,0,0,13,0,22
volunteer management,8,35,0,0,0,5,0,3,0,0,0,6,0,29
Waystar,22,32,0,0,0,17,0,5,0,0,0,23,0,9
claim management,22,32,0,0,0,17,0,5,0,0,0,23,0,9
environmental intelligence,16,32,0,0,0,15,0,1,0,0,0,31,0,1
healthcare payment processing,22,32,0,0,0,17,0,5,0,0,0,23,0,9
healthcare payments,22,32,0,0,0,17,0,5,0,0,0,23,0,9
historical weather data,16,32,0,0,0,15,0,1,0,0,0,31,0,1
infrastructure monitoring,16,32,0,0,0,15,0,1,0,0,0,31,0,1
infrastructure protection,16,32,0,0,0,15,0,1,0,0,0,31,0,1
knowledge preservation,20,32,0,0,0,19,0,1,0,0,0,31,0,1
lightning detection,16,32,0,0,0,15,0,1,0,0,0,31,0,1
mission-critical software,22,32,0,0,0,17,0,5,0,0,0,23,0,9
onboarding,20,32,0,0,0,19,0,1,0,0,0,31,0,1
payment recovery,22,32,0,0,0,17,0,5,0,0,0,23,0,9
power utility,16,32,0,0,0,15,0,1,0,0,0,31,0,1
weather forecasting,16,32,0,0,0,15,0,1,0,0,0,31,0,1
weather monitoring,16,32,0,0,0,15,0,1,0,0,0,31,0,1
energy supply,26,31,0,0,0,24,0,2,0,0,0,26,0,5
ethernet switches,12,31,7,3,0,2,0,0,17,11,0,3,0,0
network controllers,12,31,7,3,0,2,0,0,17,11,0,3,0,0
remote management,12,31,7,3,0,2,0,0,17,11,0,3,0,0
Strapi,5,29,0,3,0,1,0,1,0,27,0,1,0,1
WEZOM,5,29,0,3,0,1,0,1,0,27,0,1,0,1
backup generator enrollment,24,29,0,0,0,22,0,2,0,0,0,24,0,5
bundled energy,24,29,0,0,0,22,0,2,0,0,0,24,0,5
capacity market participation,24,29,0,0,0,22,0,2,0,0,0,24,0,5
code collaboration,5,29,0,3,0,1,0,1,0,27,0,1,0,1
collaboration features,5,29,0,3,0,1,0,1,0,27,0,1,0,1
cross-functional communication,5,29,0,3,0,1,0,1,0,27,0,1,0,1
distributed work,5,29,0,3,0,1,0,1,0,27,0,1,0,1
energy reduction measures,24,29,0,0,0,22,0,2,0,0,0,24,0,5
feedback management,5,29,0,3,0,1,0,1,0,27,0,1,0,1
hpc,4,29,2,0,0,2,0,0,24,0,0,4,0,1
in-house it,5,29,0,3,0,1,0,1,0,27,0,1,0,1
issue tracking,5,29,0,3,0,1,0,1,0,27,0,1,0,1
it projects,5,29,0,3,0,1,0,1,0,27,0,1,0,1
performance calculation,24,29,0,0,0,22,0,2,0,0,0,24,0,5
performance reporting,20,29,0,0,0,17,0,3,0,0,0,22,0,7
pjm capacity market,24,29,0,0,0,22,0,2,0,0,0,24,0,5
software development process,5,29,0,3,0,1,0,1,0,27,0,1,0,1
software outsourcing,5,29,0,3,0,1,0,1,0,27,0,1,0,1
source code,5,29,0,3,0,1,0,1,0,27,0,1,0,1
sprint planning,5,29,0,3,0,1,0,1,0,27,0,1,0,1
teamwork,5,29,0,3,0,1,0,1,0,27,0,1,0,1
technology partner,5,29,0,3,0,1,0,1,0,27,0,1,0,1
version control,5,29,0,3,0,1,0,1,0,27,0,1,0,1
consumer behavior analysis,3,28,0,2,0,1,0,0,0,26,0,2,0,0
dental ai,19,28,0,0,0,16,0,3,0,0,0,21,0,7
diagnostic standardization,19,28,0,0,0,16,0,3,0,0,0,21,0,7
early intervention,19,28,0,0,0,16,0,3,0,0,0,21,0,7
enterprise analytics,19,28,0,0,0,16,0,3,0,0,0,21,0,7
patient communication,19,28,0,0,0,16,0,3,0,0,0,21,0,7
treatment planning,19,28,0,0,0,16,0,3,0,0,0,21,0,7
ai-enabled automation,7,27,0,0,0,5,0,2,0,0,0,15,0,12
behavioral ai,23,27,0,0,0,19,1,3,0,0,0,23,1,3
credential harvesting,23,27,0,0,0,19,1,3,0,0,0,23,1,3
identity threat detection,18,27,0,15,1,1,0,1,0,20,4,2,0,1
it business,23,27,0,0,0,19,1,3,0,0,0,23,1,3
misdirected email prevention,23,27,0,0,0,19,1,3,0,0,0,23,1,3
end-user devices,8,26,0,0,0,6,0,2,0,0,0,6,0,20
fleet optimization,12,26,4,1,0,6,0,1,9,2,0,8,0,7
government fleet management,12,26,4,1,0,6,0,1,9,2,0,8,0,7
productivity enhancement,8,26,0,0,3,1,0,4,0,0,10,1,0,15
routing,13,26,4,1,0,7,0,1,9,2,0,8,0,7
Evolv Technologies,18,25,0,0,0,14,0,4,0,0,0,21,0,4
backup,5,25,0,0,0,4,0,1,0,0,0,4,0,21
distributed wan,15,25,4,0,0,10,0,1,8,0,0,15,0,2
eschbach,9,25,0,1,0,7,1,0,0,2,0,22,1,0
freeflow entry,18,25,0,0,0,14,0,4,0,0,0,21,0,4
non-invasive screening,18,25,0,0,0,14,0,4,0,0,0,21,0,4
process data analysis,9,25,0,1,0,7,1,0,0,2,0,22,1,0
real-time data insights,9,25,0,1,0,7,1,0,0,2,0,22,1,0
security screening,18,25,0,0,0,14,0,4,0,0,0,21,0,4
smart plant operations,9,25,0,1,0,7,1,0,0,2,0,22,1,0
weapons detection,18,25,0,0,0,14,0,4,0,0,0,21,0,4
Eightfold AI,18,24,0,0,0,17,0,1,0,0,0,22,0,2
aerospace testing,17,24,0,0,0,13,0,4,0,0,0,17,0,7
best-of-breed,18,24,0,0,0,17,0,1,0,0,0,22,0,2
command control,17,24,0,0,0,13,0,4,0,0,0,17,0,7
defense systems,17,24,0,0,0,13,0,4,0,0,0,17,0,7
durable test equipment,17,24,0,0,0,13,0,4,0,0,0,17,0,7
fiber backbones,17,24,0,0,0,13,0,4,0,0,0,17,0,7
field test solutions,17,24,0,0,0,13,0,4,0,0,0,17,0,7
grant management,8,24,0,7,0,1,0,0,0,22,0,2,0,0
hardware costs,14,24,0,1,0,10,0,3,0,4,0,17,0,3
high-speed ethernet,17,24,0,0,0,13,0,4,0,0,0,17,0,7
iec 61511,14,24,0,1,0,10,0,3,0,4,0,17,0,3
instrumented systems,14,24,0,1,0,10,0,3,0,4,0,17,0,3
integrated hcm,18,24,0,0,0,17,0,1,0,0,0,22,0,2
laboratory precision,17,24,0,0,0,13,0,4,0,0,0,17,0,7
level measurement,18,24,0,1,0,16,0,1,0,1,0,22,0,1
navigation,11,24,4,1,0,5,0,1,9,2,0,6,0,7
optical fiber,17,24,0,0,0,13,0,4,0,0,0,17,0,7
overpressure protection,14,24,0,1,0,10,0,3,0,4,0,17,0,3
portable test equipment,17,24,0,0,0,13,0,4,0,0,0,17,0,7
pump protection,14,24,0,1,0,10,0,3,0,4,0,17,0,3
safety instrumented function,14,24,0,1,0,10,0,3,0,4,0,17,0,3
safety logic solver,14,24,0,1,0,10,0,3,0,4,0,17,0,3
sif,14,24,0,1,0,10,0,3,0,4,0,17,0,3
sis,14,24,0,1,0,10,0,3,0,4,0,17,0,3
skills validation,18,24,0,0,0,17,0,1,0,0,0,22,0,2
test solutions,17,24,0,0,0,13,0,4,0,0,0,17,0,7
utilization reporting,11,24,4,1,0,5,0,1,9,2,0,6,0,7
4-20ma hart protocol,17,23,0,1,0,15,0,1,0,1,0,21,0,1
ai trust,18,23,0,0,0,14,0,4,0,0,0,15,0,8
clean fuel,17,23,0,1,0,15,0,1,0,1,0,21,0,1
erp solution,20,23,0,1,0,18,0,1,0,1,0,18,0,4
level control,17,23,0,1,0,15,0,1,0,1,0,21,0,1
magnetostrictive level measurement,17,23,0,1,0,15,0,1,0,1,0,21,0,1
non-intrusive measurement,17,23,0,1,0,15,0,1,0,1,0,21,0,1
nonprofit,18,23,0,0,0,14,0,4,0,0,0,15,0,8
nonprofit ai,18,23,0,0,0,14,0,4,0,0,0,15,0,8
nonprofit services,18,23,0,0,0,14,0,4,0,0,0,15,0,8
sil certification,17,23,0,1,0,15,0,1,0,1,0,21,0,1
tank level control,17,23,0,1,0,15,0,1,0,1,0,21,0,1
document processing,11,21,0,0,0,10,0,1,0,0,0,20,0,1
idp,11,21,0,0,0,10,0,1,0,0,0,20,0,1
intelligent document processing (idp),11,21,0,0,0,10,0,1,0,0,0,20,0,1
model deployment,13,21,0,3,8,1,0,1,0,6,12,2,0,1
Hyland Software,10,20,0,0,0,9,0,1,0,0,0,19,0,1
Stacks,14,20,2,5,2,4,0,1,3,6,3,5,0,3
account reconciliation,14,20,2,5,2,4,0,1,3,6,3,5,0,3
account reconciliations,14,20,2,5,2,4,0,1,3,6,3,5,0,3
advisory services,14,20,2,5,2,4,0,1,3,6,3,5,0,3
ai-powered document processing,10,20,0,0,0,9,0,1,0,0,0,19,0,1
ai-powered workforce management,3,20,0,0,0,3,0,0,0,0,0,20,0,0
approval workflows,14,20,2,5,2,4,0,1,3,6,3,5,0,3
audit readiness,14,20,2,5,2,4,0,1,3,6,3,5,0,3
autonomous accounting,14,20,2,5,2,4,0,1,3,6,3,5,0,3
building security,5,20,2,3,0,0,0,0,5,15,0,0,0,0
character recognition,10,20,0,0,0,9,0,1,0,0,0,19,0,1
close automation,14,20,2,5,2,4,0,1,3,6,3,5,0,3
close management,14,20,2,5,2,4,0,1,3,6,3,5,0,3
customer success resources,14,20,2,5,2,4,0,1,3,6,3,5,0,3
data-driven workforce optimization,3,20,0,0,0,3,0,0,0,0,0,20,0,0
financial data lake,14,20,2,5,2,4,0,1,3,6,3,5,0,3
generative workflows,14,20,2,5,2,4,0,1,3,6,3,5,0,3
healthcare staff planning,3,20,0,0,0,3,0,0,0,0,0,20,0,0
healthcare workforce management,3,20,0,0,0,3,0,0,0,0,0,20,0,0
intelligent close,14,20,2,5,2,4,0,1,3,6,3,5,0,3
intercompany eliminations,14,20,2,5,2,4,0,1,3,6,3,5,0,3
journal entry automation,14,20,2,5,2,4,0,1,3,6,3,5,0,3
month-end close automation,14,20,2,5,2,4,0,1,3,6,3,5,0,3
month-end close checklist,14,20,2,5,2,4,0,1,3,6,3,5,0,3
networking switches,3,20,0,0,0,2,0,1,0,0,0,2,0,18
real-time reporting,14,20,2,5,2,4,0,1,3,6,3,5,0,3
workforce analytics,3,20,0,0,0,3,0,0,0,0,0,20,0,0
academic personal trainers,16,19,12,0,0,1,0,3,15,0,0,1,0,3
academic roi,16,19,12,0,0,1,0,3,15,0,0,1,0,3
apt,16,19,12,0,0,1,0,3,15,0,0,1,0,3
child safety,16,19,12,0,0,1,0,3,15,0,0,1,0,3
managed external partner,16,19,12,0,0,1,0,3,15,0,0,1,0,3
staff wellbeing,16,19,12,0,0,1,0,3,15,0,0,1,0,3
third workforce,16,19,12,0,0,1,0,3,15,0,0,1,0,3
actionable solutions,13,18,0,0,0,12,0,1,0,0,0,13,0,5
aggregated data,10,18,0,6,0,3,0,1,0,8,0,8,0,2
cloud managed,10,18,0,6,0,3,0,1,0,8,0,8,0,2
control panels,7,18,3,3,0,1,0,0,10,6,0,2,0,0
digital workforce,8,18,0,1,0,6,0,1,0,2,0,15,0,1
digital workforce automation,8,18,0,1,0,6,0,1,0,2,0,15,0,1
direct mail,13,18,0,0,0,12,0,1,0,0,0,13,0,5
end-user device refresh,9,18,0,0,0,8,0,1,0,0,0,11,0,7
human-centric automation,8,18,0,1,0,6,0,1,0,2,0,15,0,1
ia productivity,8,18,0,1,5,1,0,1,0,7,7,1,0,3
iso 27001,13,18,0,0,0,10,0,3,0,0,0,13,0,5
it compliance,13,18,0,0,0,10,0,3,0,0,0,13,0,5
knowledge implementation,8,18,0,1,5,1,0,1,0,7,7,1,0,3
network performance optimization,10,18,0,6,0,3,0,1,0,8,0,8,0,2
pci dss,13,18,0,0,0,10,0,3,0,0,0,13,0,5
soc 2,13,18,0,0,0,10,0,3,0,0,0,13,0,5
soc 2 type ii,13,18,0,0,0,10,0,3,0,0,0,13,0,5
trust center,13,18,0,0,0,10,0,3,0,0,0,13,0,5
Ping Identity,9,17,0,0,0,8,0,1,0,0,0,15,0,2
client connector,13,17,0,0,0,13,0,0,0,0,0,17,0,0
comprehensive security,13,17,0,0,0,13,0,0,0,0,0,17,0,0
financial process automation,7,17,0,1,1,3,0,2,0,1,1,13,0,2
internet access,13,17,0,0,0,13,0,0,0,0,0,17,0,0
ssl inspection,13,17,0,0,0,13,0,0,0,0,0,17,0,0
traffic protection,13,17,0,0,0,13,0,0,0,0,0,17,0,0
user data,13,17,0,0,0,13,0,0,0,0,0,17,0,0
web gateway,13,17,0,0,0,13,0,0,0,0,0,17,0,0
Optum,8,16,1,0,0,7,0,0,6,0,0,10,0,0
ai powered identity security,14,16,0,12,0,1,0,1,0,14,0,1,0,1
audits,8,16,1,0,0,7,0,0,6,0,0,10,0,0
behavioral health services,8,16,1,0,0,7,0,0,6,0,0,10,0,0
data mining,8,16,1,0,0,7,0,0,6,0,0,10,0,0
identity control,14,16,0,12,0,1,0,1,0,14,0,1,0,1
modular delivery model,8,16,1,0,0,7,0,0,6,0,0,10,0,0
payment integrity,8,16,1,0,0,7,0,0,6,0,0,10,0,0
regulatory scrutiny,14,16,0,12,0,1,0,1,0,14,0,1,0,1
white box solutions,8,16,1,0,0,7,0,0,6,0,0,10,0,0
ai risk,13,15,0,0,0,11,0,2,0,0,0,13,0,2
competitive differentiation,13,15,0,0,0,11,0,2,0,0,0,13,0,2
drone inventory management,3,15,0,1,0,2,0,0,0,3,0,12,0,0
energy reduction,11,15,0,0,0,8,0,3,0,0,0,11,0,4
